Id,Code,Name,ProvinceId
657,910,Huyện Vĩnh Thuận,59
658,911,Thành phố Phú Quốc,59
659,912,Huyện Kiên Hải,59
660,913,Huyện U Minh Thượng,59
661,914,Huyện Giang Thành,59
662,916,Quận Ninh Kiều,60
663,917,Quận Ô Môn,60
664,918,Quận Bình Thuỷ,60
665,919,Quận Cái Răng,60
666,923,Quận Thốt Nốt,60
667,924,Huyện Vĩnh Thạnh,60
668,925,Huyện Cờ Đỏ,60
669,926,Huyện Phong Điền,60
670,927,Huyện Thới Lai,60
671,930,Thành phố Vị Thanh,61
672,931,Thành phố Ngã Bảy,61
673,932,Huyện Châu Thành A,61
674,933,Huyện Châu Thành,61
675,934,Huyện Phụng Hiệp,61
676,935,Huyện Vị Thuỷ,61
677,936,Huyện Long Mỹ,61
678,937,Thị xã Long Mỹ,61
679,941,Thành phố Sóc Trăng,62
680,942,Huyện Châu Thành,62
681,943,Huyện Kế Sách,62
682,944,Huyện Mỹ Tú,62
683,945,Huyện Cù Lao Dung,62
684,946,Huyện Long Phú,62
685,947,Huyện Mỹ Xuyên,62
686,948,Thị xã Ngã Năm,62
687,949,Huyện Thạnh Trị,62
688,950,Thị xã Vĩnh Châu,62
689,951,Huyện Trần Đề,62
690,954,Thành phố Bạc Liêu,63
691,956,Huyện Hồng Dân,63
692,957,Huyện Phước Long,63
693,958,Huyện Vĩnh Lợi,63
694,959,Thị xã Giá Rai,63
695,960,Huyện Đông Hải,63
696,961,Huyện Hoà Bình,63
697,964,Thành phố Cà Mau,64
698,966,Huyện U Minh,64
699,967,Huyện Thới Bình,64
700,968,Huyện Trần Văn Thời,64
701,969,Huyện Cái Nước,64
702,970,Huyện Đầm Dơi,64
703,971,Huyện Năm Căn,64
704,972,Huyện Phú Tân,64
705,973,Huyện Ngọc Hiển,64
