Id,Code,Name,ProvinceId,Status,IsDeleted,CreatedAt,UpdatedAt
187,251,Huyện Yên Lạc,17,1,False,2023-11-12 11:25:27.506679,
188,252,Huyện Vĩnh Tường,17,1,False,2023-11-12 11:25:27.506679,
189,253,Huyện Sông Lô,17,1,False,2023-11-12 11:25:27.506679,
190,256,Thành phố Bắc Ninh,18,1,False,2023-11-12 11:25:27.506679,
191,258,Huyện Yên Phong,18,1,False,2023-11-12 11:25:27.506679,
192,259,Huyện Quế Võ,18,1,False,2023-11-12 11:25:27.506679,
193,260,Huyện Tiên Du,18,1,False,2023-11-12 11:25:27.506679,
194,261,Thành phố Từ Sơn,18,1,False,2023-11-12 11:25:27.506679,
195,262,Huyện Thuận Thành,18,1,False,2023-11-12 11:25:27.506679,
196,263,Huyện Gia Bình,18,1,False,2023-11-12 11:25:27.506679,
197,264,Huyện Lương Tài,18,1,False,2023-11-12 11:25:27.506679,
198,288,Thành phố Hải Dương,19,1,False,2023-11-12 11:25:27.506679,
199,290,Thành phố Chí Linh,19,1,False,2023-11-12 11:25:27.506679,
200,291,Huyện Nam Sách,19,1,False,2023-11-12 11:25:27.506679,
201,292,Thị xã Kinh Môn,19,1,False,2023-11-12 11:25:27.506679,
202,293,Huyện Kim Thành,19,1,False,2023-11-12 11:25:27.506679,
203,294,Huyện Thanh Hà,19,1,False,2023-11-12 11:25:27.506679,
204,295,Huyện Cẩm Giàng,19,1,False,2023-11-12 11:25:27.506679,
205,296,Huyện Bình Giang,19,1,False,2023-11-12 11:25:27.506679,
206,297,Huyện Gia Lộc,19,1,False,2023-11-12 11:25:27.506679,
207,298,Huyện Tứ Kỳ,19,1,False,2023-11-12 11:25:27.506679,
208,299,Huyện Ninh Giang,19,1,False,2023-11-12 11:25:27.506679,
209,300,Huyện Thanh Miện,19,1,False,2023-11-12 11:25:27.506679,
210,303,Quận Hồng Bàng,20,1,False,2023-11-12 11:25:27.506679,
211,304,Quận Ngô Quyền,20,1,False,2023-11-12 11:25:27.506679,
212,305,Quận Lê Chân,20,1,False,2023-11-12 11:25:27.506679,
213,306,Quận Hải An,20,1,False,2023-11-12 11:25:27.506679,
214,307,Quận Kiến An,20,1,False,2023-11-12 11:25:27.506679,
215,308,Quận Đồ Sơn,20,1,False,2023-11-12 11:25:27.506679,
216,309,Quận Dương Kinh,20,1,False,2023-11-12 11:25:27.506679,
217,311,Huyện Thuỷ Nguyên,20,1,False,2023-11-12 11:25:27.506679,
218,312,Huyện An Dương,20,1,False,2023-11-12 11:25:27.506679,
219,313,Huyện An Lão,20,1,False,2023-11-12 11:25:27.506679,
220,314,Huyện Kiến Thuỵ,20,1,False,2023-11-12 11:25:27.506679,
221,315,Huyện Tiên Lãng,20,1,False,2023-11-12 11:25:27.506679,
222,316,Huyện Vĩnh Bảo,20,1,False,2023-11-12 11:25:27.506679,
223,317,Huyện Cát Hải,20,1,False,2023-11-12 11:25:27.506679,
224,318,Huyện Bạch Long Vĩ,20,1,False,2023-11-12 11:25:27.506679,
225,323,Thành phố Hưng Yên,21,1,False,2023-11-12 11:25:27.506679,
226,325,Huyện Văn Lâm,21,1,False,2023-11-12 11:25:27.506679,
227,326,Huyện Văn Giang,21,1,False,2023-11-12 11:25:27.506679,
228,327,Huyện Yên Mỹ,21,1,False,2023-11-12 11:25:27.506679,
229,328,Thị xã Mỹ Hào,21,1,False,2023-11-12 11:25:27.506679,
230,329,Huyện Ân Thi,21,1,False,2023-11-12 11:25:27.506679,
231,330,Huyện Khoái Châu,21,1,False,2023-11-12 11:25:27.506679,
232,331,Huyện Kim Động,21,1,False,2023-11-12 11:25:27.506679,
233,332,Huyện Tiên Lữ,21,1,False,2023-11-12 11:25:27.506679,
234,333,Huyện Phù Cừ,21,1,False,2023-11-12 11:25:27.506679,
235,336,Thành phố Thái Bình,22,1,False,2023-11-12 11:25:27.506679,
236,338,Huyện Quỳnh Phụ,22,1,False,2023-11-12 11:25:27.506679,
237,339,Huyện Hưng Hà,22,1,False,2023-11-12 11:25:27.506679,
238,340,Huyện Đông Hưng,22,1,False,2023-11-12 11:25:27.506679,
239,341,Huyện Thái Thụy,22,1,False,2023-11-12 11:25:27.506679,
240,342,Huyện Tiền Hải,22,1,False,2023-11-12 11:25:27.506679,
241,343,Huyện Kiến Xương,22,1,False,2023-11-12 11:25:27.506679,
242,344,Huyện Vũ Thư,22,1,False,2023-11-12 11:25:27.506679,
243,347,Thành phố Phủ Lý,23,1,False,2023-11-12 11:25:27.506679,
244,349,Thị xã Duy Tiên,23,1,False,2023-11-12 11:25:27.506679,
245,350,Huyện Kim Bảng,23,1,False,2023-11-12 11:25:27.506679,
246,351,Huyện Thanh Liêm,23,1,False,2023-11-12 11:25:27.506679,
247,352,Huyện Bình Lục,23,1,False,2023-11-12 11:25:27.506679,
248,353,Huyện Lý Nhân,23,1,False,2023-11-12 11:25:27.506679,
249,356,Thành phố Nam Định,24,1,False,2023-11-12 11:25:27.506679,
250,358,Huyện Mỹ Lộc,24,1,False,2023-11-12 11:25:27.506679,
251,359,Huyện Vụ Bản,24,1,False,2023-11-12 11:25:27.506679,
252,360,Huyện Ý Yên,24,1,False,2023-11-12 11:25:27.506679,
253,361,Huyện Nghĩa Hưng,24,1,False,2023-11-12 11:25:27.506679,
254,362,Huyện Nam Trực,24,1,False,2023-11-12 11:25:27.506679,
255,363,Huyện Trực Ninh,24,1,False,2023-11-12 11:25:27.506679,
256,364,Huyện Xuân Trường,24,1,False,2023-11-12 11:25:27.506679,
257,365,Huyện Giao Thủy,24,1,False,2023-11-12 11:25:27.506679,
258,366,Huyện Hải Hậu,24,1,False,2023-11-12 11:25:27.506679,
259,369,Thành phố Ninh Bình,25,1,False,2023-11-12 11:25:27.506679,
260,370,Thành phố Tam Điệp,25,1,False,2023-11-12 11:25:27.506679,
261,372,Huyện Nho Quan,25,1,False,2023-11-12 11:25:27.506679,
262,373,Huyện Gia Viễn,25,1,False,2023-11-12 11:25:27.506679,
263,374,Huyện Hoa Lư,25,1,False,2023-11-12 11:25:27.506679,
264,375,Huyện Yên Khánh,25,1,False,2023-11-12 11:25:27.506679,
265,376,Huyện Kim Sơn,25,1,False,2023-11-12 11:25:27.506679,
266,377,Huyện Yên Mô,25,1,False,2023-11-12 11:25:27.506679,
267,380,Thành phố Thanh Hóa,26,1,False,2023-11-12 11:25:27.506679,
268,381,Thị xã Bỉm Sơn,26,1,False,2023-11-12 11:25:27.506679,
269,382,Thành phố Sầm Sơn,26,1,False,2023-11-12 11:25:27.506679,
270,384,Huyện Mường Lát,26,1,False,2023-11-12 11:25:27.506679,
271,385,Huyện Quan Hóa,26,1,False,2023-11-12 11:25:27.506679,
272,386,Huyện Bá Thước,26,1,False,2023-11-12 11:25:27.506679,
273,387,Huyện Quan Sơn,26,1,False,2023-11-12 11:25:27.506679,
274,388,Huyện Lang Chánh,26,1,False,2023-11-12 11:25:27.506679,
275,389,Huyện Ngọc Lặc,26,1,False,2023-11-12 11:25:27.506679,
276,390,Huyện Cẩm Thủy,26,1,False,2023-11-12 11:25:27.506679,
277,391,Huyện Thạch Thành,26,1,False,2023-11-12 11:25:27.506679,
278,392,Huyện Hà Trung,26,1,False,2023-11-12 11:25:27.506679,
